Game1-Mafia,Brow raise,8:49,
Game1-Mafia,Blinking,8:55,
Game1-Mafia,Brow raise,8:59,
Game1-Mafia,Brow raise,8:56,
Game1-Mafia,Brow raise,8:58,
Game1-Mafia,Blinking,9:04,
Game1-Mafia,Brow raise,9:22,
Game1-Mafia,Lips apart,9:07,
Game1-Mafia,Brow raise,9:22,
Game1-Mafia,Blinking,9:24,
Game1-Mafia,Brow raise,9:25,
Game1-Mafia,Blinking,9:25,
Game1-Mafia,Blinking,9:30,
Game1-Mafia,Blinking,9:34,
Game1-Mafia,Blinking,9:37,
Game1-Mafia,Blinking,9:38,
Game1-Mafia,Brow raise,10:00,
Game1-Mafia,Blinking,9:44,
Game1-Mafia,Lips apart,10:02,
Game1-Mafia,lips strech,10:04,
Game1-Mafia,Blinking,10:14,
Game1-Mafia,smile,10:15,
Game1-Mafia,Blinking,10:16,
Game1-Mafia,Brow raise,10:25,
Game1-Mafia,Brow raise,10:28,
Game1-Mafia,Smile,10:28,
Game1-Mafia,head  movement,10:30,
Game1-Mafia,Lips apart,10:42,
Game1-Mafia,Giggle ,10:47,
Game1-Mafia,Brow raise,11:18,
Game1-Mafia,Brow raise,11:21,
Game1-Mafia,Lip strech ,11:36,
Game1-Mafia,smile,11:49,
Game1-Mafia,lip stretch ,12:00,
Game1-Mafia,arm movement,12:21,
Game1-Mafia,Lips apart,12:30,
Game1-Mafia,Blinked,12:33,
Game1-Mafia,Giggle ,13:18,
Game1-Mafia,lip stretch ,13:40,
Game1-Mafia,Lips apart,14:36,
Game1-Mafia,lip stretch ,14:53,
Game1-Mafia,Blinking,15:00,
Game1-Mafia,Jaw movement,15:02,
Game1-Mafia,Jaw movement,15:04,
Game1-Mafia,lips apart,15:13,
Game1-Mafia,biting lips,15:20,
Game1-Mafia,Brow raise,15:39,
Game1-Mafia,lips strech,15:44,
Game1-Mafia,fingers fidgiting ,16:44,
Game1-Mafia,biting lips,17:01,
Game1-Mafia,Lips apart,17:21,
Game1-Mafia,Blinking,17:27,
Game1-Mafia,Brow raise,17:33,
Game1-Mafia,Brow raise,17:40,
Game1-Mafia,Blinking,18:09,
Game1-Mafia,Blinking,18:11,
Game1-Mafia,Jaw movement,18:15,
Game1-Mafia,lips apart,18:20,
Game1-Mafia,Blinking,18:27,
Game1-Mafia,Brow raise,18:30,
Game1-Mafia,Blinking,18:34,
Game1-Mafia,Brow raise,18:51,
Game1-Mafia,head  movement,18:53,
Game1-Mafia,Blinking,18:48,
Game1-Mafia,Brow raise,18:51,
Game1-Mafia,Lip strecth ,18:59,
Game1-Mafia,Posture shift,19:00,
Game1-Mafia,lip pressing,19:02,
Game1-Mafia,Eye closed,19:13,
Game1-Mafia,lips apart,19:23,
Game1-Mafia,Lip strech ,19:32,
Game1-Mafia,Blinking,19:41,
Game1-Mafia,Gaze aversion,19:47,
Game1-Mafia,Blinking,20:04,
Game1-Mafia,Brow raise,20:09,
Game1-Mafia,smile,20:12,
Game1-Mafia,Giggle ,20:17,
Game1-Mafia,arm movement,20:21,
Game1-Mafia,smile,20:25,
Game1-Mafia,Lip strecth ,20:18,
Game1-Mafia,head  movement,20:25,
Game1-Mafia,smile,20:30,
game2-Mafia,Blinking,31:20:00,
game2-Mafia,lips apart,31:35:00,
game2-Mafia,Brow Raise,32:28:00,
game2-Mafia,Brow Raise,32:31:00,
game2-Mafia,lips apart,32:35:00,
game2-Mafia,lips apart,32:58:00,
game2-Mafia,lips apart,33:15:00,
game2-Mafia,posture shifts,33:16:00,
game2-Mafia,lips apart,33:33:00,
game2-Mafia,lips apart,33:45:00,
game2-Mafia,Brow Raise,33:52:00,
game2-Mafia,laugh,33:55:00,
game2-Mafia,chin raise,34:00:00,
game2-Mafia,Blinking,34:05:00,
game2-Mafia,lips apart,34:06:00,
game2-Mafia,laugh,34:22:00,
game2-Mafia,laugh,34:32:00,
game2-Mafia,Smile,34:47:00,
game2-Mafia,Blinking,35:06:00,
game2-Mafia,Blinking,35:11:00,
game2-Mafia,Brow raise,35:13:00,
game2-Mafia,Blinking,35:18:00,
game2-Mafia,Blinking,35:23:00,
game2-Mafia,Blinking,35:28:00,
game2-Mafia,Blinking,35:35:00,
game2-Mafia,head movement,36:02:00,
game2-Mafia,Smile,36:03:00,
game2-Mafia,lip stretch,36:05:00,
game2-Mafia,Blinking,36:20:00,
game2-Mafia,Blinking,36:23:00,
game2-Mafia,biting lips,36:44:00,
game2-Mafia,Blinking,37:32:00,
game2-Mafia,lips apart,37:35:00,
game2-Mafia,Brow Raise,37:40:00,
game2-Mafia,Brow Raise,37:44:00,
game2-Mafia,Brow Raise,37:59:00,
game2-Mafia,lips stretch ,38:14:00,
game2-Mafia,Brow raise,38:19:00,
game2-Mafia,Brow Raise,38:22:00,
game2-Mafia,Blinking,38:51:00,
game2-Mafia,Blinking,39:54:00,
game2-Mafia,lip stretch,40:05:00,
game2-Mafia,Blinking,40:28:00,
game2-Mafia,Blinking,40:35:00,
game2-Mafia,Blinking,40:45:00,
game2-Mafia,Blinking,40:48:00,
game2-Mafia,tongue movement ,40:50:00,
game2-Mafia,brow raise,41:40:00,
game2-Mafia,Brow Raise,41:43:00,
game2-Mafia,Blinking,41:52:00,
game2-Mafia,Blinking,41:55:00,
game2-Mafia,Brow Raise,41:59:00,
game2-Mafia,Blinking,42:24:00,
game2-Mafia,Blinking,42:35:00,
game2-Mafia,Blinking,42:37:00,
game2-Mafia,Blinking,42:50:00,
game2-Mafia,head movement,43:27:00,
game2-Mafia,Smile,43:27:00,
