game1-police,blinking,6:20,
game1-police,head movement,6:21,
game1-police,smile,6:21,
game1-police,blinking,6:28,
game1-police,blinking,6:30,
game1-police,blinking,6:31,
game1-police,head movement,6:31,
game1-police,fidgiting,6:36,
game1-police,blinking,6:44,
game1-police,blinking,6:46,
game1-police,head movement,6:51,
game1-police,lips apart,6:50,
game1-police,head movement,7:03,
game1-police,lips apart,6:59,
game1-police,head movement,7:06,
game1-police,fidgiting,7:13,
game1-police,head movement,7:17,
game1-police,blinking,7:27,
game1-police,smile,7:29,
game1-police,head movement,7:31,
game1-police,blinking,7:35,
game1-police,blinking,7:37,
game1-police,smile,7:38,
game1-police,lips apart,7:51,
game1-police,blinking,7:52,
game1-police,head movement,7:52,
game1-police,head movement,7:57,
game1-police,facial fidgiting,8:18,
game1-police,blinking,8:22,
game1-police,blinking,8:23,
game1-police,blinking,8:25,
game1-police,blinking,8:30,
game1-police,head movement,8:29,
game1-police,blinking,8:35,
game1-police,blinking,8:37,
game1-police,blinking,8:40,
game1-police,blinking,8:40,
game1-police,head movement,8:42,
game1-police,blinking,8:46,
game1-police,head movement,8:54,
game1-police,smile,8:54,
game1-police,arm movement,8:54,
game1-police,face fidgiting,8:59,
game1-police,face fidgiting,9:01,
game1-police,head movement,9:02,
game1-police,face fidgiting,9:05,
game1-police,head movement,9:03,
game1-police,face fidgiting,9:04,
game1-police,head movement,9:06,
game1-police,head movement,9:06,
game1-police,head movement,9:11,
game1-police,head movement,9:13,
game1-police,arm movement,9:15,
game1-police,head movement,9:16,
game1-police,lips apart,9:20,
game1-police,head movement,9:22,
game1-police,smile,9:24,
game1-police,arm movement,9:24,
game1-police,blinking,9:33,
game1-police,blinking,9:32,
game1-police,blinking,9:38,
game1-police,blinking,9:39,
game1-police,blinking,9:42,
game1-police,blinking,9:43,
game1-police,blinking,9:44,
game1-police,lips apart,9:46,
game1-police,smile,9:48,
game1-police,face fidgiting,9:55,
game1-police,blinking,9:56,
game1-police,blinking,10:01,
game1-police,blinking,10:09,
game1-police,head movement,10:15,
game1-police,blinking,10:16,
game1-police,head movement,10:18,
game1-police,head movement,10:21,
game1-police,face fidgiting,10:24,
game1-police,blinking,10:26,
game1-police,blinking,10:29,
game1-police,head movement,10:38,
game1-police,blinking,10:45,
game1-police,blinking,10:49,
game1-police,blinking,10:51,
game1-police,blinking,10:54,
game1-police,smile,10:55,
game1-police,lips apart,10:56,
game1-police,blinking,11:03,
game1-police,blinking,11:05,
game1-police,brow raise,11:05,
game1-police,smile,11:07,
game1-police,blinking,11:11,
game1-police,head movement,11:11,
game1-police,blinking,11:16,
game1-police,presses lips,11:11,
game1-police,blinking,11:22,
game1-police,blinking,11:24,
game1-police,head movement,11:25,
game1-police,presses lips,11:33,
game1-police,lips apart,11:34,
game1-police,smile,11:35,
game1-police,laugh,11:38,
game1-police,face fidgiting,11:38,
game1-police,smile,12:08,
game1-police,blinking,12:11,
game1-police,blinking,12:12,
game1-police,smile,12:17,
game1-police,lips apart,12:20,
game1-police,blinking,12:22,
game1-police,blinking,12:31,
game1-police,blinking,12:32,
game1-police,blinking,12:33,
game1-police,blinking,12:34,
game1-police,lips apart,12:42,
game1-police,face fidgiting,12:46,
game1-police,blinking,12:53,
game1-police,head movement,12:57,
game1-police,blinking,13:07,
game1-police,face fidgiting,13:10,
game1-police,laugh,13:17,
game1-police,blinking,13:22,
game1-police,lips apart,13:23,
game1-police,laugh,13:46,
game1-police,blinking,14:02,
game1-police,head movement,14:06,
game1-police,lips apart,14:08,
game1-police,smile,14:14,
game1-police,face fidgiting,14:28,
game1-police,hand movement,14:38,
game1-police,smile,14:41,
game1-police,face fidgiting,14:45,
game1-police,blinking,14:52,
game1-police,blinking,15:01,
game1-police,blinking,15:02,
game1-police,blinking,15:06,
game1-police,smile,15:09,
game1-police,blinking,15:15,
game1-police,blinking,15:20,
game1-police,blinking,15:21,
game1-police,blinking,15:27,
game1-police,blinking,15:30,
game1-police,smile,15:36,
game1-police,face fidgiting,15:57,
game1-police,giggle,16:07,
game1-police,lips apart,16:14,
game1-police,brow raise,16:22,
game1-police,head movement,16:27,
game1-police,face fidgiting,17:10,
game1-police,blinking,17:14,
game1-police,head movement,17:39,
game1-police,face fidgiting,17:44,
game1-police,head movement,17:46,
game1-police,blinking,17:53,
game1-police,arm movement,18:00,
game1-police,face fidgiting,18:02,
game1-police,blinking,18:05,
game1-police,smile,18:09,
game1-police,head movement,18:12,
game1-police,smile,18:14,
game1-police,face fidgiting,18:18,
game1-police,smile,18:25,
game1-police,face fidgiting,18:42,
game1-police,smile,18:52,
game1-police,lips apart,18:53,
game1-police,laugh,18:53,
game1-police,lips apart,18:55,
game1-police,laugh,18:59,
game1-police,blinking,19:07,
game1-police,blinking,19:11,
game1-police,lip pucker,19:14,
game1-police,giggle,19:44,
game1-police,lips apart,19:48,
game1-police,lip stretch,20:03,
game1-police,head movement,20:04,
game1-police,arm movement,20:05,
game1-police,face fidgiting,20:16,
game1-police,face fidgiting,21:15,
game1-police,smile,21:16,
game1-police,lips apart,21:16,
game1-police,face fidgiting,21:26,
game1-police,smile,21:28,
game1-police,head movement,21:28,
game1-police,head movement,21:34,
game1-police,head movement,21:44,
game1-police,position shift,21:49,
game1-police,hand movement,21:53,
game1-police,smile,21:52,
game1-police,head movement,21:59,
game1-police,head movement,22:03,
game1-police,shrugs,22:06,
game1-police,eyes closed,22:10,
game1-police,head movement,22:09,
game2-police,face fidgiting,30:24:00,
game2-police,laugh,30:32:00,
game2-police,head movement,30:33:00,
game2-police,head movement,30:34:00,
game2-police,lips apart,30:38:00,
game2-police,face fidgiting,30:47:00,
game2-police,head movement,30:56:00,
game2-police,facial expressiveness,31:05:00,
game2-police,lips apart,31:07:00,
game2-police,facial fidgiting,31:36:00,
game2-police,laugh,31:52:00,
game2-police,lip pucker,32:12:00,
game2-police,smile,32:20:00,
game2-police,laugh,32:34:00,
game2-police,arm movement,32:41:00,
game2-police,facial fidgiting,32:50:00,
game2-police,laugh,33:18:00,
game2-police,smile,33:20:00,
game2-police,lips apart,33:34:00,
game2-police,blinking,33:43:00,
game2-police,head movement,33:56:00,
game2-police,face fidgiting,33:58:00,
game2-police,laugh,34:20:00,
game2-police,lips apart,34:27:00,
